id,strategy,symbol,side,entryPrice,stopLoss,takeProfit1,takeProfit2,leverage,timestamp,metadata,createdAt,score,status
700,SimpleTrueOB,STABLEUSDT,SHORT,0.01433263,0.01452077,0.01410687,0.01358008,15,2026-01-10 11:20:00,"{""obTop"": 0.014377, ""margin"": 1000, ""method"": ""ORB"", ""obBottom"": 0.014294, ""atrPercent"": 0.3434428755861641, ""positionSize"": 1046562.7707523298, ""positionValue"": 15000}",2026-01-10 11:25:00.87652,80.00,FILLED
701,SimpleTrueOB,USUSDT,LONG,0.00690638,0.00680130,0.00703248,0.00732670,15,2026-01-10 11:25:00,"{""obTop"": 0.00694, ""margin"": 1000, ""method"": ""ORB"", ""obBottom"": 0.00687, ""atrPercent"": 0.7451443669468115, ""positionSize"": 2171904.503965246, ""positionValue"": 15000}",2026-01-10 11:30:00.26921,80.00,FILLED
702,SimpleTrueOB,FORMUSDT,LONG,0.38562711,0.38115000,0.39099964,0.40353555,15,2026-01-10 11:30:00,"{""obTop"": 0.3861, ""margin"": 1000, ""method"": ""ORB"", ""obBottom"": 0.385, ""atrPercent"": 0.35790093719973287, ""positionSize"": 38897.680196809815, ""positionValue"": 15000}",2026-01-10 11:35:00.371585,80.00,PENDING
703,SimpleTrueOB,COLLECTUSDT,LONG,0.09306361,0.09177300,0.09461234,0.09822605,15,2026-01-10 11:30:00,"{""obTop"": 0.09339, ""margin"": 1000, ""method"": ""ORB"", ""obBottom"": 0.0927, ""atrPercent"": 0.4531954415075196, ""positionSize"": 161180.08060486885, ""positionValue"": 15000}",2026-01-10 11:35:00.486446,80.00,PENDING
705,SimpleTrueOB,NEIROUSDT,SHORT,0.00013187,0.00013362,0.00012977,0.00012488,15,2026-01-10 11:35:00,"{""obTop"": 0.0001323, ""margin"": 1000, ""method"": ""ORB"", ""obBottom"": 0.0001315, ""atrPercent"": 0.2998818644903659, ""positionSize"": 113745266.11159988, ""positionValue"": 15000}",2026-01-10 11:40:00.053897,80.00,CANCELED
706,SimpleTrueOB,MONUSDT,SHORT,0.02583483,0.02617920,0.02542159,0.02445736,15,2026-01-10 11:35:00,"{""obTop"": 0.02592, ""margin"": 1000, ""method"": ""ORB"", ""obBottom"": 0.02576, ""atrPercent"": 0.4293878853418331, ""positionSize"": 580611.4783328183, ""positionValue"": 15000}",2026-01-10 11:40:00.054187,80.00,FAILED
707,SimpleTrueOB,1000PEPEUSDT,SHORT,0.00602135,0.00611313,0.00591121,0.00565422,15,2026-01-10 11:35:00,"{""obTop"": 0.0060526, ""margin"": 1000, ""method"": ""ORB"", ""obBottom"": 0.0059925, ""atrPercent"": 0.3949102512699501, ""positionSize"": 2491137.574635333, ""positionValue"": 15000}",2026-01-10 11:40:00.063616,80.00,FAILED
746,SimpleTrueOB,ADAUSDT,SHORT,0.38802238,0.39319300,0.38181764,0.36733990,15,2026-01-10 12:00:00,"{""obTop"": 0.3893, ""margin"": 1000, ""method"": ""ORB"", ""obBottom"": 0.3869, ""atrPercent"": 0.40922590024536093, ""positionSize"": 38657.56403019847, ""positionValue"": 15000}",2026-01-10 12:15:00.451457,80.00,PENDING
723,SimpleTrueOB,HYPEUSDT,SHORT,NaN,24.75611000,24.04834332,23.12955300,15,2026-01-10 11:30:00,"{""obTop"": 24.525, ""margin"": 1000, ""method"": ""ORB"", ""obBottom"": 24.369, ""atrPercent"": 0.7086362676532151, ""strategies"": [""SimpleTrueOB"", ""SimpleTrueOB""], ""positionSize"": 613.6949564412821, ""positionValue"": 15000, ""agreementCount"": 2}",2026-01-10 11:45:00.054071,100.00,FAILED
708,SimpleTrueOB,BEATUSDT,SHORT,0.45855827,0.46682200,0.44864179,0.42550335,15,2026-01-10 11:35:00,"{""obTop"": 0.4622, ""margin"": 1000, ""method"": ""ORB"", ""obBottom"": 0.4551, ""atrPercent"": 0.9949404667729778, ""positionSize"": 32711.21901258045, ""positionValue"": 15000}",2026-01-10 11:40:00.064873,80.00,FAILED
